Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8635455001DO001_201212 Tourist Accommodation, Small Area Data, South Australia, Dec 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Mon 8 Apr 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4 Hotels, motels and serviced apartments, by tourism region and statistical area level 2–South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Establishments,Rooms,Bed spaces,Persons employed,Room nights occupied,,,,Room occupancy rate,,,,Guest arrivals,,,,Guest nights occupied,,,,Bed occupancy rate,,,,Average length of stay,,,,Takings from accommodation,,,,Average takings per room night occupied,,,,Average takings per room night available,,,
,December Quarter 2012,December Quarter 2012,December Quarter 2012,December Quarter 2012,Oct-12,Nov-12,Dec-12,December Quarter 2012,Oct-12,Nov-12,Dec-12,December Quarter 2012,Oct-12,Nov-12,Dec-12,December Quarter 2012,Oct-12,Nov-12,Dec-12,December Quarter 2012,Oct-12,Nov-12,Dec-12,December Quarter 2012,Oct-12,Nov-12,Dec-12,December Quarter 2012,Oct-12,Nov-12,Dec-12,December Quarter 2012,Oct-12,Nov-12,Dec-12,December Quarter 2012,Oct-12,Nov-12,Dec-12,December Quarter 2012
,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,days,days,days,days,$,$,$,$,$,$,$,$,$,$,$,$
Limestone Coast (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston - Robe,6,120,325,37,"1,747","1,894","1,685","5,326",47,52.6,45.3,48.2,"1,973","2,339","2,113","6,425","2,878","3,402","3,027","9,307",28.6,34.9,30,31.1,1.5,1.5,1.4,1.4,"170,294","188,335","197,585","556,214",97.48,99.44,117.26,104.43,45.78,52.32,53.11,50.38
Millicent,4,121,354,50,"1,137","1,183",782,"3,102",30.3,32.6,20.8,27.9,"1,412","1,446",930,"3,788","2,013","1,942","1,327","5,282",18.3,18.3,12.1,16.2,1.4,1.3,1.4,1.4,"109,410","97,340","67,785","274,535",96.23,82.28,86.68,88.5,29.17,26.82,18.07,24.66
Mount Gambier,18,608,"1,683",210,"9,847","10,700","8,828","29,375",52.2,58.7,46.8,52.5,"8,931","8,974","9,485","27,390","16,401","17,654","16,805","50,860",31.4,35,32.2,32.8,1.8,2,1.8,1.9,"1,116,486","1,206,140","1,066,959","3,389,585",113.38,112.72,120.86,115.39,59.24,66.13,56.61,60.6
Naracoorte,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penola,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatiara,5,127,366,38,"1,952","1,922","1,551","5,425",49.6,50.4,39.4,46.4,"1,356","1,436","1,310","4,102","2,725","2,519","2,227","7,471",24,22.9,19.6,22.2,2,1.8,1.7,1.8,"218,156","213,959","167,916","600,031",111.76,111.32,108.26,110.6,55.41,56.16,42.65,51.35
Limestone Coast (TR) Total,37,"1,079","2,991",364,"16,062","16,834","13,800","46,696",48,52,41.3,47,"14,853","15,227","14,720","44,800","26,003","27,272","24,825","78,100",28,30.4,26.8,28.4,1.8,1.8,1.7,1.7,"1,780,711","1,856,716","1,616,288","5,253,715",110.86,110.3,117.12,112.51,53.24,57.36,48.32,52.92
