Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8635455001DO001_201206 Tourist Accommodation, Small Area Data, South Australia, Jun 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Fri 5 Oct 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5 Hotels, motels and serviced apartments, by Statistical Local Areas (ASGC)–South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Establishments,Rooms,Bed spaces,Persons employed,Room nights occupied,,,,Room occupancy rate,,,,Guest arrivals,,,,Guest nights occupied,,,,Bed occupancy rate,,,,Average length of stay,,,,Takings from accommodation,,,,Average takings per room night occupied,,,,Average takings per room night available,,,,
,June Quarter 2012,June Quarter 2012,June Quarter 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,
,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,days,days,days,days,$,$,$,$,$,$,$,$,$,$,$,$,
Kingston (DC),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Gambier (C),19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naracoorte and Lucindale (DC),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robe (DC),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatiara (DC),5,124,360,42,"2,464","2,683","1,718","6,865",66.2,69.8,46.2,60.8,"1,737","1,829","1,343","4,909","3,291","3,187","2,511","8,989",30.5,28.6,23.3,27.4,1.9,1.7,1.9,1.8,"243,474","276,332","179,196","699,002",98.81,102.99,104.31,101.82,65.45,71.89,48.17,61.95,
Wattle Range (DC) - East,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wattle Range (DC) - West,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid Murray (DC),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
