Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8635455001DO001_201203 Tourist Accommodation, Small Area Data, South Australia, Mar 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Fri 6 Jul 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4 Hotels, motels and serviced apartments, by tourism region and statistical area level 2–South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Establishments,Rooms,Bed spaces,Persons employed,Room nights occupied,,,,Room occupancy rate,,,,Guest arrivals,,,,Guest nights occupied,,,,Bed occupancy rate,,,,Average length of stay,,,,Takings from accommodation,,,,Average takings per room night occupied,,,,Average takings per room night available,,,,
,March Quarter 2012,March Quarter 2012,March Quarter 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,
,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,days,days,days,days,$,$,$,$,$,$,$,$,$,$,$,$,
Limestone Coast (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston - Robe,6,121,324,37,"2,278","1,885","2,257","6,420",60.7,53.7,60.2,58.3,"3,337","2,575","3,097","9,009","4,606","3,477","4,053","12,136",45.9,37.0,40.4,41.2,1.4,1.4,1.3,1.3,"265,385","195,338","230,466","691,189",116.50,103.63,102.11,107.66,70.75,55.67,61.44,62.77,
Millicent,4,128,381,55,,,"1,471","3,459",,,37.1,29.7,,,"1,327","3,373",,,"1,918","4,842",,,16.2,14.0,,,1.4,1.4,,,"110,124","268,923",,,74.86,77.75,,,27.75,23.09,
Mount Gambier,18,602,"1,682",242,"9,594","9,116","11,599","30,309",51.4,52.2,62.2,55.3,"9,859","7,532","9,569","26,960","18,915","13,814","18,536","51,265",36.3,28.3,35.5,33.5,1.9,1.8,1.9,1.9,"1,172,921","1,054,345","1,400,874","3,628,140",122.26,115.66,120.78,119.71,62.85,60.39,75.07,66.23,
Naracoorte,3,67,140,15,,922,,"2,685",,47.5,,44.0,,892,,"2,437",,"1,211",,"3,432",,29.8,,26.9,,1.4,,1.4,,"109,009",,"310,836",,118.23,,115.77,,56.10,,50.98,
Penola,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatiara,5,,,,,"1,996","2,600",,,58.3,71.1,,,"1,432","1,684",,,"2,456","3,319",,,23.2,29.3,,,1.7,2.0,,,"219,517","271,651",,,109.98,104.48,,,64.15,74.26,,
Limestone Coast (TR) Total,37,"1,071","3,007",406,"15,860","15,346","19,623","50,829",47.8,49.4,59.1,52.2,"16,813","13,650","16,919","47,382","29,606","22,882","30,083","82,571",31.8,26.2,32.3,30.2,1.8,1.7,1.8,1.7,"1,869,086","1,701,647","2,221,050","5,791,783",117.85,110.89,113.19,113.95,56.30,54.79,66.90,59.43,
