Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8635455001DO001_201209 Tourist Accommodation, Small Area Data, South Australia, Sep 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Fri 11 Jan 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4 Hotels, motels and serviced apartments, by tourism region and statistical area level 2–South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Establishments,Rooms,Bed spaces,Persons employed,Room nights occupied,,,,Room occupancy rate,,,,Guest arrivals,,,,Guest nights occupied,,,,Bed occupancy rate,,,,Average length of stay,,,,Takings from accommodation,,,,Average takings per room night occupied,,,,Average takings per room night available,,,,
,September Quarter 2012,September Quarter 2012,September Quarter 2012,September Quarter 2012,July 2012,August 2012,September 2012,September Quarter 2012,July 2012,August 2012,September 2012,September Quarter 2012,July 2012,August 2012,September 2012,September Quarter 2012,July 2012,August 2012,September 2012,September Quarter 2012,July 2012,August 2012,September 2012,September Quarter 2012,July 2012,August 2012,September 2012,September Quarter 2012,July 2012,August 2012,September 2012,September Quarter 2012,July 2012,August 2012,September 2012,September Quarter 2012,July 2012,August 2012,September 2012,September Quarter 2012,
,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,days,days,days,days,$,$,$,$,$,$,$,$,$,$,$,$,
Limestone Coast (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston - Robe,6,121,324,43,"1,502","1,214","1,282","3,998",40.0,32.4,35.3,35.9,"1,490","1,606","1,711","4,807","2,684","2,179","2,459","7,322",26.7,21.7,25.3,24.6,1.8,1.4,1.4,1.5,"134,374","146,902","118,328","399,604",89.46,121.01,92.30,99.95,35.82,39.16,32.60,35.90,
Millicent,4,120,348,60,793,725,"1,120","2,638",21.3,19.5,31.1,23.9,769,644,827,"2,240","1,066",935,"1,499","3,500",9.9,8.7,14.4,10.9,1.4,1.5,1.8,1.6,"59,212","57,999","76,326","193,537",74.67,80.00,68.15,73.37,15.92,15.59,21.20,17.53,
Mount Gambier,18,599,"1,639",235,"8,038","8,567","8,124","24,729",43.3,46.1,45.2,44.9,"7,054","7,312","7,879","22,245","13,458","13,872","13,955","41,285",26.5,27.3,28.4,27.4,1.9,1.9,1.8,1.9,"869,811","894,798","958,538","2,723,147",108.21,104.45,117.99,110.12,46.84,48.19,53.34,49.41,
Naracoorte,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penola,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatiara,5,126,363,43,"1,639","1,510","1,849","4,998",42.0,38.7,48.9,43.1,"1,193","1,270","1,816","4,279","2,766","2,315","3,241","8,322",24.6,20.6,29.8,24.9,2.3,1.8,1.8,1.9,"179,624","162,143","211,224","552,991",109.59,107.38,114.24,110.64,45.99,41.51,55.88,47.70,
Limestone Coast (TR) Total,37,"1,069","2,933",409,"12,951","12,985","13,330","39,266",39.1,39.2,41.6,39.9,"11,388","11,543","13,010","35,941","21,414","20,565","22,417","64,396",23.6,22.6,25.5,23.9,1.9,1.8,1.7,1.8,"1,367,367","1,387,355","1,479,643","4,234,365",105.58,106.84,111.00,107.84,41.26,41.86,46.14,43.05,
Murraylands (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karoonda - Lameroo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mannum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray Bridge,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murraylands (TR) Total,7,160,447,63,"2,167","2,085","2,680","6,932",43.7,42.0,55.8,47.1,"2,016","2,464","3,040","7,520","3,180","3,484","4,506","11,170",22.9,25.1,33.6,27.2,1.6,1.4,1.5,1.5,"256,514","219,737","279,378","755,629",118.37,105.39,104.25,109.01,51.72,44.30,58.20,51.33,
Fleurieu Peninsula (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McLaren Vale,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goolwa - Port Elliot,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strathalbyn,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
